id,name,name_eng,full_path_slug,description,short_description,note,score,type,level,is_deleted,is_visible,meta_title,meta_description,meta_social_title,meta_social_description,created_at,updated_at,created_by_id,updated_by_id,product_suggestion_list_enable
1,Thuốc,,thuoc,,,Mọi thông tin trên đây chỉ mang tính chất tham khảo. Việc sử dụng thuốc phải tuân theo hướng dẫn của bác sĩ chuyên môn.,2,product,1,FALSE,TRUE,"Tổng hợp thuốc, thuốc biệt dược chính hãng, giá tốt","Mua tất cả các loại thuốc trị bệnh, thuốc biệt dược, tân dược, thuốc gốc, dược liệu chính hãng được phép lưu hành tại Việt Nam, có dược sĩ Long Châu tư vấn","Tổng hợp thuốc, thuốc biệt dược chính hãng, giá tốt","Mua tất cả các loại thuốc trị bệnh, thuốc biệt dược, tân dược, thuốc gốc, dược liệu chính hãng được phép lưu hành tại Việt Nam, có dược sĩ Long Châu tư vấn",57:03.6,27:14.9,,,FALSE
2,Dược mỹ phẩm,,duoc-my-pham,,,,4,product,1,FALSE,TRUE,Dược mỹ phẩm chính hãng từ các thương hiệu lớn - Nhà thuốc Long Châu,"Các dòng dược mỹ phẫm đến từ các thương hiệu lớn như: Vichy, Eucerin,  La Roche-Posay ✅  Cải thiện các vấn đề xấu của da, hàng chính hãng, giao hàng toàn quốc",,,57:03.6,49:20.0,,,
3,Thiết bị y tế,,trang-thiet-bi-y-te,,,,4,product,1,FALSE,TRUE,"Thiết bị y tế chính hãng, giá tốt nhất tại Nhà thuốc Long Châu","Nơi bán thiết bị y tế chính hãng, chất lượng. Có dược sĩ tư vấn kỹ lưỡng - Giá rẻ, uy tín - Giao hàng nhanh - Đổi trả 30 ngày tại Nhà thuốc Long Châu.",,,57:03.6,49:57.5,,,
4,Chăm sóc cá nhân,,cham-soc-ca-nhan,,,,3,product,1,FALSE,TRUE,Sản phẩm chăm sóc cá nhân giá tốt Tại Nhà Thuốc Long Châu,"Mua online sản phẩm chăm sóc cá nhân chính hãng 100% tại Nhà thuốc Long Châu. Giao hàng toàn quốc, Đổi trả dễ dàng, Ưu đãi giá tốt cho khách hàng thành viên. Mua ngay hôm nay!",,,57:03.6,40:34.5,,,FALSE
5,Thực phẩm chức năng,,thuc-pham-chuc-nang,,,"Thực phẩm bảo vệ sức khoẻ, không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh.",3,product,1,FALSE,TRUE,"Thực phẩm chức năng tăng cường sức khỏe giá tốt, giao nhanh","Thực phẩm chức năng là sản phẩm được tạo ra từ việc kết hợp nhiều thành phần có lợi cho sức khỏe, bao gồm các vitamin, khoáng chất thiết yếu, acid amin...","Thực phẩm chức năng tăng cường sức khỏe giá tốt, giao nhanh","Thực phẩm chức năng là sản phẩm được tạo ra từ việc kết hợp nhiều thành phần có lợi cho sức khỏe, bao gồm các vitamin, khoáng chất thiết yếu, acid amin...",57:03.6,09:01.4,,,FALSE
6,Dụng cụ sơ cứu,,trang-thiet-bi-y-te/dung-cu-so-cuu,,,,3,product,2,FALSE,TRUE,"Dung cụ sơ cứu vết thương, cầm máu - Nhà thuốc Long Châu","Mua dụng cụ sơ cứu vết thương, cầm máu như băng, gạc, bông gòn,... với giá cực tốt tại Nhà thuốc Long Châu. Đổi trả trong 30 ngày,  miễn phí giao hàng",,,57:03.8,45:41.0,,,FALSE
7,Dụng cụ y tế,,trang-thiet-bi-y-te/dung-cu-y-te,,,,1,product,2,FALSE,TRUE,"Mua thiết bị y tế, dụng cụ y tế, y khoa chính hãng","Nhà thuốc Long châu cung cấp các loại thiết bị y tế, dụng cụ y tế, dụng cụ y khoa gia đình chính hãng, chất lượng với giá tốt, giao nhanh tận nơi.",,,57:03.8,07:09.5,,,FALSE
8,Khẩu trang,,trang-thiet-bi-y-te/khau-trang,,,,4,product,2,FALSE,TRUE,Khẩu trang y tế các loại chính hãng giá tốt 2026,"Mua các loại khẩu trang, khẩu trang y tế chất lượng, giá cực tốt tại Nhà thuốc Long Châu. Sản phẩm chính hãng - Đa dạng mẫu/màu sắc - Giao hàng nhanh.",,,57:03.8,12:17.5,,,FALSE
9,Dụng cụ theo dõi,,trang-thiet-bi-y-te/dung-cu-theo-doi,,,,2,product,2,FALSE,TRUE,"Dụng cụ theo dõi huyết áp, đường huyết, nhiệt độ cơ thể - Nhà thuốc Long Châu","Dụng cụ theo dõi huyết áp, đường huyết, nhiệt độ cơ thể chính hãng, đạt tiêu chuẩn ✅ Sản phẩm chất lượng - Giao hàng nhanh - Giá rẻ uy tín - Chỉ có tại Nhà thuốc Long Châu",,,57:03.8,07:57.8,,,FALSE
10,Thuốc dị ứng,,thuoc/thuoc-di-ung,,,,1,product,2,FALSE,TRUE,"TOP 15+ Thuốc dị ứng ngứa, mề đay phổ biến 2026","Mua thuốc dị ứng, thuốc chống dị ứng được dùng nhiều nhất: Cetirizin, Clorpheniramin, Telfast 60mg, Loratadin, A.T Desloratadin,... tại Long Châu","TOP 15+ Thuốc dị ứng ngứa, mề đay phổ biến 2026","Mua thuốc dị ứng, thuốc chống dị ứng được dùng nhiều nhất: Cetirizin, Clorpheniramin, Telfast 60mg, Loratadin, A.T Desloratadin,... tại Long Châu",57:03.8,18:58.6,,,FALSE
