id,name,headline,score,is_show_badge,score_badge,is_show_info,description,slug,pim_id,short_description,created_at,updated_at,created_by_id,updated_by_id
1,3D,,0,FALSE,0,TRUE,,hinh-dang-san-pham/3d,,,59:13.0,56:17.7,,
2,N95,,0,FALSE,0,TRUE,,hinh-dang-san-pham/n95,,,59:13.0,56:17.7,,
3,3 lớp,,0,FALSE,0,TRUE,,hinh-dang-san-pham/3-lop,,,59:13.0,56:17.7,,
4,4 lớp,,0,FALSE,0,TRUE,,hinh-dang-san-pham/4-lop,,,59:13.1,56:17.7,,
5,2 lớp,,0,FALSE,0,TRUE,,hinh-dang-san-pham/2-lop,,,59:13.1,56:17.7,,
6,4D,,0,FALSE,0,TRUE,,hinh-dang-san-pham/4d,,,59:13.1,56:15.0,,
7,Băng keo y tế,,0,FALSE,0,TRUE,,hinh-dang-san-pham/bang-keo-y-te,,,59:13.1,56:15.0,,
8,Men vi sinh,,0,FALSE,0,TRUE,,hinh-dang-san-pham/men-vi-sinh,,,59:13.2,56:13.5,,
9,Tinh dầu xông,,0,FALSE,0,TRUE,,hinh-dang-san-pham/tinh-dau-xong,,,59:13.2,56:13.5,,
10,7 lớp,,0,FALSE,0,TRUE,,hinh-dang-san-pham/7-lop,,,59:13.2,56:13.5,,
11,Đường ăn kiêng,,0,FALSE,0,TRUE,,hinh-dang-san-pham/duong-an-kieng,,,59:13.2,56:14.9,,
12,Băng cá nhân,,0,FALSE,0,TRUE,,hinh-dang-san-pham/bang-ca-nhan,,,59:13.3,56:15.0,,
13,Gạc y tế,,0,FALSE,0,TRUE,,hinh-dang-san-pham/gac-y-te,,,59:13.3,56:15.0,,
14,,,0,FALSE,0,FALSE,,tinh-nang-dac-biet/phuc-thinh,,,59:13.3,59:13.3,,
15,Tạo xương,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/tao-xuong,,,59:13.3,56:16.6,,
16,Trị gàu,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/tri-gau,,,59:13.3,56:13.5,,
17,Giảm thâm vùng mắt,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/giam-tham-vung-mat,,,59:13.4,56:13.5,,
18,Bổ sung Vitamin C,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/bo-sung-vitamin-c,,,59:13.4,56:17.3,,
19,Tăng sức đề kháng,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/tang-suc-de-khang,,,59:13.4,56:17.3,,
20,Gây tê,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/gay-te,,,59:13.4,56:17.7,,
21,Tăng trương lực thần kinh đối giao cảm,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/tang-truong-luc-than-kinh-doi-giao-cam,,,59:13.5,56:17.7,,
22,Bổ sung chất điện giải,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/bo-sung-chat-dien-giai,,,59:13.5,56:17.7,,
23,Tăng khả năng nhận thức,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/tang-kha-nang-nhan-thuc,,,59:13.5,56:17.7,,
24,Hỗ trợ cai thuốc lá,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/ho-tro-cai-thuoc-la,,,59:13.5,56:17.7,,
25,Kháng khuẩn,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khang-khuan,,,59:13.6,56:17.7,,
26,Không gây dị ứng,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khong-gay-di-ung,,,59:13.6,56:17.7,,
27,Không mùi,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khong-mui,,,59:13.6,56:17.9,,
28,Dành cho ăn chay,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/danh-cho-an-chay,,,59:13.6,56:17.7,,
29,Không chất bảo quản,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khong-chat-bao-quan,,,59:13.7,56:17.7,,
30,Không hương nhân tạo,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khong-huong-nhan-tao,,,59:13.7,56:17.7,,
31,Không màu nhân tạo,,0,TRUE,0,TRUE,,tinh-nang-dac-biet/khong-mau-nhan-tao,,,59:13.7,56:17.9,,
32,Không chứa Lactose,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khong-chua-lactose,,,59:13.7,56:17.7,,
33,Không chứa Gluten,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khong-chua-gluten,,,59:13.8,56:17.7,,
34,Tránh thai,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/tranh-thai,,,59:13.8,56:17.3,,
35,Không Cafein,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khong-cafein,,,59:13.8,56:17.7,,
36,Liệu pháp thay thế Hormone,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/lieu-phap-thay-the-hormone,,,59:13.8,56:17.3,,
37,Lọc vi khuẩn,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/loc-vi-khuan,,,59:13.8,56:17.7,,
38,Lọc bụi mịn,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/loc-bui-min,,,59:13.9,56:17.7,,
39,Giảm mẫn ngứa ngoài da,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/giam-man-ngua-ngoai-da,,,59:13.9,56:18.7,,
40,Giảm mụn trứng cá,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/giam-mun-trung-ca,,,59:13.9,56:19.0,,
41,Không kích ứng da,,0,TRUE,0,TRUE,,tinh-nang-dac-biet/khong-kich-ung-da,,,59:13.9,56:19.2,,
42,Người tiểu đường,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/nguoi-tieu-duong,,,59:13.9,56:19.0,,
43,Dưỡng trắng da,,35,FALSE,35,TRUE,,tinh-nang-dac-biet/duong-trang-da,,,59:14.0,56:21.9,,
44,,,0,FALSE,0,FALSE,,tinh-nang-dac-biet/tieu-dom-loang-chat-nhay,,,59:14.0,59:14.0,,
45,Kháng nấm,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/khang-nam,,,59:14.0,56:13.5,,
46,Chống virus,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/chong-virus,,,59:14.0,56:13.5,,
47,Chống bụi mịn PM2.5,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/chong-bui-min-pm25,,,59:14.0,56:13.5,,
48,Chống hăm,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/chong-ham,,,59:14.1,56:13.5,,
49,Hạ sốt,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/ha-sot,,,59:14.1,56:14.2,,
50,Hỗ trợ tiêu mỡ thừa,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/ho-tro-tieu-mo-thua,,,59:14.1,56:14.2,,
51,Làm sạch khoang miệng,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/lam-sach-khoang-mieng,,,59:14.1,56:14.2,,
52,Cung cấp Collagen,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/cung-cap-collagen,,,59:14.2,56:14.2,,
53,Giảm đau họng,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/giam-dau-hong,,,59:14.2,56:14.2,,
54,Bổ sung acid lactic,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/bo-sung-acid-lactic,,,59:14.2,56:14.2,,
55,Chống mọng nước,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/chong-mong-nuoc,,,59:14.2,56:14.2,,
56,Tẩy sạch da đầu,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/tay-sach-da-dau,,,59:14.2,56:14.2,,
57,Không cay mắt,,0,TRUE,0,TRUE,,tinh-nang-dac-biet/khong-cay-mat,,,59:14.3,56:14.6,,
58,Ngăn ngừa mụn,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/ngan-ngua-mun,,,59:14.3,56:14.2,,
59,Giúp sảng khoái tinh thần,,0,FALSE,0,TRUE,,tinh-nang-dac-biet/giup-sang-khoai-tinh-than,,,59:14.3,56:14.2,,
60,Hút ẩm thừa,,0,TRUE,0,TRUE,,tinh-nang-dac-biet/hut-am-thua,,,59:14.3,56:14.6,,
